symbol,entry_date,exit_date,net_pnl_pct,reason,hold_bars,entry_price,exit_price,stop,target,mfe_r,mae_r,swing_date,sweep_date,response_date,causal_trace,prior20_volume_rank,t1_violation
002656.SZ,20230410,20230707,0.244444,TIME20,20.0,2.25,2.26,1.9008,2.86,0.715922,-0.773196,20230330,20230406,20230407,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920305.BJ,20230505,20230508,7.265753,TP_STRUCTURAL,1.0,14.6,15.69,12.474,15.69,5.672625,1.105362,20230418,20230428,20230504,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000004.SZ,20230519,20230523,5.759032,TP_STRUCTURAL,2.0,10.74,11.38,9.9198,11.38,6.474031,-0.073153,20230510,20230517,20230518,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
688287.SH,20230630,20230703,2.504086,TP_STRUCTURAL,1.0,11.723,12.04,10.73952,12.04,0.64465,-1.019848,20230615,20230628,20230629,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920305.BJ,20230706,20230712,-8.638378,SL,4.0,18.5,16.9389,16.9389,23.8,0.499648,-1.351611,20230628,20230704,20230705,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920932.BJ,20230717,20230721,-3.81414,SL,4.0,11.74,11.3157,11.3157,11.99,-0.141409,-2.191845,20230704,20230713,20230714,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000638.SZ,20230719,20230721,4.065403,TP_STRUCTURAL,2.0,6.33,6.6,5.8905,6.6,5.824801,-0.227531,20230706,20230717,20230718,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920023.BJ,20230724,20230803,2.230556,TP_STRUCTURAL,8.0,2.88,2.95,2.7918,2.95,1.587302,-0.453515,20230628,20230720,20230721,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002169.SZ,20230801,20230814,-4.735247,SL,9.0,7.561,7.21809,7.21809,8.031,0.145811,-2.507947,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002931.SZ,20230801,20230802,-4.137729,GAP_SL,1.0,10.92,10.49,10.7613,12.23,0.0,-6.049149,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600360.SH,20230801,20230814,-4.13988,GAP_SL,9.0,6.853,6.583,6.61617,7.083,0.464468,-2.913482,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600482.SH,20230801,20230804,-6.598646,SL,3.0,21.272,19.91088,19.91088,22.825,-0.029388,-2.475902,20230721,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603776.SH,20230801,20230804,3.032607,TP_STRUCTURAL,3.0,14.23,14.69,13.5531,14.69,0.901167,-2.319397,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
688287.SH,20230801,20230809,-4.416606,SL,6.0,11.08,10.6128,10.6128,11.63,-0.321062,-2.482877,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000421.SZ,20230802,20230808,-5.826168,SL,4.0,5.35,5.049,5.049,5.44,0.099668,-1.960133,20230721,20230731,20230801,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301269.SZ,20230802,20230830,6.36963,TIME20,20.0,101.68,108.36,96.3765,123.11,2.717074,-0.495899,20230724,20230731,20230801,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600421.SH,20230803,20230807,-4.786273,SL,2.0,10.49,10.0089,10.0089,11.62,-0.332571,-2.889212,20230721,20230801,20230802,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920033.BJ,20230803,20230811,-4.481768,SL,6.0,36.2,34.65,34.65,39.19,0.503226,-2.8,20230720,20230801,20230802,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920533.BJ,20230804,20230814,-11.954875,SL,6.0,17.95,15.84,15.84,20.67,0.260664,-1.824645,20230713,20230802,20230803,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002388.SZ,20230809,20230814,-5.760178,SL,3.0,6.73,6.3558,6.3558,7.06,0.053447,-2.61892,20230728,20230807,20230808,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
003041.SZ,20230809,20230814,-3.414915,SL,3.0,14.75,14.2758,14.2758,15.56,1.37073,-1.602699,20230717,20230807,20230808,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920857.BJ,20230809,20230821,-1.2,SL,8.0,8.18,8.0982,8.0982,8.39,3.91198,-1.711491,20230728,20230807,20230808,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603151.SH,20230810,20230811,3.254658,TP_STRUCTURAL,1.0,16.21,16.77,15.7311,16.77,1.169346,-2.547505,20230721,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
920974.BJ,20230810,20230817,-5.879468,SL,5.0,6.77,6.3855,6.3855,7.26,-0.182055,-4.317295,20230728,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000812.SZ,20230811,20230815,-7.843152,SL,2.0,5.812,5.36778,5.36778,6.122,0.877943,-1.440728,20230728,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
001373.SZ,20230811,20230825,-7.362471,GAP_SL,10.0,43.7,40.57,40.6989,57.38,2.165873,-2.049249,20230803,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300442.SZ,20230811,20230816,-5.733929,GAP_SL,3.0,26.202,24.752,25.00938,28.152,0.327011,-5.06448,20230803,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301158.SZ,20230811,20230814,-6.370518,SL,1.0,13.154,12.34233,12.34233,13.84,2.079663,-1.406976,20230724,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600280.SH,20230811,20230814,-6.204141,GAP_SL,1.0,4.83,4.54,4.5738,6.1,2.34192,-3.044496,20230803,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600846.SH,20230811,20230824,-5.382645,SL,9.0,9.231,8.75259,8.75259,9.621,0.898811,-1.734914,20230721,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601298.SH,20230811,20230814,-3.945932,SL,1.0,5.408,5.20542,5.20542,5.599,0.444269,-1.23408,20230721,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603173.SH,20230811,20230814,-4.024855,SL,1.0,26.635,25.61625,25.61625,28.065,1.658896,-2.709202,20230731,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
688033.SH,20230811,20230814,-4.336848,SL,1.0,18.305,17.54775,17.54775,18.735,-0.39617,-2.680753,20230724,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
688223.SH,20230811,20230814,-3.772319,GAP_SL,1.0,12.037,11.607,11.61963,12.537,-0.862544,-5.606536,20230801,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
688377.SH,20230811,20230814,-6.258692,SL,1.0,21.86,20.53557,20.53557,22.985,0.490777,-2.894075,20230731,20230809,20230810,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301004.SZ,20230814,20230816,8.869527,TP_STRUCTURAL,2.0,21.258,23.186,19.68714,23.186,5.615395,0.386413,20230801,20230810,20230811,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301255.SZ,20230814,20230817,12.576556,TP_STRUCTURAL,3.0,30.916,34.866,29.45349,34.866,10.300101,-0.708371,20230728,20230810,20230811,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002811.SZ,20230815,20230824,-5.517219,SL,7.0,8.026,7.59924,7.59924,8.196,0.421783,-2.343237,20230801,20230811,20230814,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301137.SZ,20230815,20230817,13.955038,TP_STRUCTURAL,2.0,14.977,17.097,14.46093,17.097,19.803515,-0.678203,20230804,20230811,20230814,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000048.SZ,20230816,20230821,-4.860175,SL,3.0,19.204,18.30906,18.30906,20.284,2.223613,-1.977786,20230725,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000419.SZ,20230816,20230913,-4.128571,TIME20,20.0,5.6,5.38,5.1579,6.17,0.067858,-0.927392,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000543.SZ,20230816,20230829,-8.61952,SL,9.0,5.871,5.37669,5.37669,6.221,0.445065,-1.901641,20230725,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000601.SZ,20230816,20230822,-3.522308,SL,4.0,4.263,4.12137,4.12137,4.483,0.21182,-1.694556,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000726.SZ,20230816,20230825,-4.074194,SL,7.0,6.2,5.9598,5.9598,6.49,0.41632,-1.248959,20230717,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000921.SZ,20230816,20230829,7.264472,TP_STRUCTURAL,9.0,20.899,22.459,20.02671,22.459,2.522097,-1.272513,20230731,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
000931.SZ,20230816,20230822,-3.176705,SL,4.0,6.01,5.8311,5.8311,6.15,1.341532,-1.900503,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
001238.SZ,20230816,20230823,-7.01025,SL,5.0,16.664,15.52914,15.52914,18.086,0.616816,-1.969406,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
001287.SZ,20230816,20230905,10.948316,TP_STRUCTURAL,14.0,25.385,28.215,24.24015,28.215,3.721011,-0.428004,20230803,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
001308.SZ,20230816,20230824,-5.825,SL,6.0,23.76,22.4235,22.4235,26.73,0.13468,-1.346801,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
001333.SZ,20230816,20230821,4.196516,TP_STRUCTURAL,3.0,24.11,25.17,23.2452,25.17,3.341813,-3.098982,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002007.SZ,20230816,20230821,-2.850602,GAP_SL,3.0,20.75,20.2,20.2158,22.08,0.318233,-5.728192,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002045.SZ,20230816,20230822,-7.104153,SL,4.0,14.085,13.11255,13.11255,14.875,0.503882,-2.45771,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002052.SZ,20230816,20230913,-3.789744,TIME20,20.0,1.95,1.88,1.8513,2.0,0.405268,-0.810537,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002078.SZ,20230816,20230913,1.013819,TIME20,20.0,10.71,10.84,10.2663,11.25,1.059274,-0.946586,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002095.SZ,20230816,20230830,17.890692,TP_STRUCTURAL,10.0,20.95,24.74,19.8495,24.74,4.788732,-0.999546,20230803,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002130.SZ,20230816,20230913,1.509933,TIME20,20.0,6.433,6.543,6.08157,6.963,0.711379,-0.739834,20230801,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002245.SZ,20230816,20230821,-4.147436,SL,3.0,7.02,6.74289,6.74289,7.581,0.050521,-2.948288,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002556.SZ,20230816,20230817,-2.452108,SL,1.0,7.116,6.95574,6.95574,7.386,-0.249594,-3.244727,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002700.SZ,20230816,20230821,2.401088,TP_STRUCTURAL,3.0,4.229,4.339,4.13721,4.339,1.307332,-2.396775,20230804,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002729.SZ,20230816,20230822,-6.054924,SL,4.0,19.576,18.42984,18.42984,20.396,-0.026174,-2.914078,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002760.SZ,20230816,20230822,-5.955242,SL,4.0,23.942,22.56408,22.56408,24.592,0.725732,-2.881154,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
002867.SZ,20230816,20230822,-6.943134,SL,4.0,13.618,12.69972,12.69972,14.148,1.524589,-1.306791,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300010.SZ,20230816,20230913,-0.2,TIME20,20.0,2.191,2.191,2.04831,2.529,1.317542,-0.392459,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300045.SZ,20230816,20230817,8.231373,TP_STRUCTURAL,1.0,10.2,11.06,9.702,11.06,38.634538,0.100402,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300119.SZ,20230816,20230821,-3.468641,SL,3.0,17.019,16.46271,16.46271,17.969,1.95941,-1.653814,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300206.SZ,20230816,20230821,-3.286935,GAP_SL,3.0,11.986,11.616,11.63844,13.926,0.402808,-6.243526,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300351.SZ,20230816,20230822,-4.813402,SL,4.0,13.699,13.06701,13.06701,14.749,0.743683,-2.341809,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300415.SZ,20230816,20230822,-4.956448,SL,4.0,16.867,16.06473,16.06473,20.007,2.642502,-2.0442,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300633.SZ,20230816,20230913,8.855689,TIME20,20.0,42.073,45.883,40.52367,48.703,2.762484,-0.819709,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300731.SZ,20230816,20230817,-4.104885,SL,1.0,13.121,12.60864,12.60864,16.407,9.745101,-2.006402,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300856.SZ,20230816,20230817,0.329451,TP_STRUCTURAL,1.0,25.687,25.823,24.15402,25.823,1.353573,-2.016987,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300865.SZ,20230816,20230821,19.269857,TP_STRUCTURAL,3.0,21.315,25.465,19.95345,25.465,4.671147,-0.940105,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
300955.SZ,20230816,20230822,-5.220545,SL,4.0,20.93,19.8792,19.8792,22.55,5.538637,-1.208603,20230721,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301053.SZ,20230816,20230817,-5.840272,SL,1.0,17.516,16.52805,16.52805,21.273,3.586214,-1.525381,20230804,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301055.SZ,20230816,20230818,2.307313,TP_STRUCTURAL,2.0,14.358,14.718,13.80852,14.718,1.619713,-1.346728,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301228.SZ,20230816,20230823,18.466667,TP_STRUCTURAL,5.0,15.75,18.69,15.2064,18.69,27.09713,1.747609,20230717,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301229.SZ,20230816,20230817,-5.676032,SL,1.0,16.522,15.61725,15.61725,18.47,5.814866,-1.011329,20230726,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
301345.SZ,20230816,20230817,-7.116646,SL,1.0,44.341,41.27409,41.27409,46.611,1.062959,-1.362935,20230803,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600129.SH,20230816,20230818,-11.426959,SL,2.0,52.08,46.233,46.233,54.2,-0.495981,-2.555156,20230731,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600251.SH,20230816,20230818,-4.723915,SL,2.0,8.99,8.5833,8.5833,9.23,0.442587,-1.524465,20230802,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600266.SH,20230816,20230828,10.720652,TP_STRUCTURAL,8.0,7.234,8.024,6.54786,8.024,1.22424,-1.355409,20230803,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600415.SH,20230816,20230905,11.468928,TP_STRUCTURAL,14.0,7.37,8.23,6.8706,8.23,2.943532,-0.600721,20230727,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600508.SH,20230816,20230822,-2.352279,SL,4.0,9.279,9.07929,9.07929,9.693,1.962846,-3.470032,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600624.SH,20230816,20230821,-3.272464,SL,3.0,6.21,6.0192,6.0192,6.33,0.104822,-2.568134,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600729.SH,20230816,20230913,-6.948981,SL,20.0,31.169,29.06541,29.06541,32.819,0.328011,-1.079108,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600795.SH,20230816,20230817,-2.818176,SL,1.0,3.059,2.97891,2.97891,3.229,1.623174,-3.995505,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
600863.SH,20230816,20230825,-4.643478,SL,7.0,2.875,2.74725,2.74725,2.945,0.704501,-1.252446,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601006.SH,20230816,20230817,1.064422,TP_STRUCTURAL,1.0,6.327,6.407,6.04593,6.407,0.996193,-0.284627,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601065.SH,20230816,20230818,5.360382,TP_STRUCTURAL,2.0,11.51,12.15,11.0583,12.15,14.168696,0.15497,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601607.SH,20230816,20230822,-4.9125,SL,4.0,18.4,17.5329,17.5329,19.83,0.057663,-2.687118,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601766.SH,20230816,20230821,-4.168254,SL,3.0,5.67,5.445,5.445,5.93,0.044444,-2.133333,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601816.SH,20230816,20230822,-3.154205,SL,4.0,5.066,4.91634,4.91634,5.286,0.267272,-2.739543,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
601898.SH,20230816,20230825,-3.590625,SL,7.0,7.04,6.8013,6.8013,7.44,2.010892,-1.466276,20230802,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603090.SH,20230816,20230904,1.718465,TP_STRUCTURAL,13.0,20.85,21.25,18.8199,21.25,0.295552,-0.743806,20230728,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603280.SH,20230816,20230818,6.793007,TP_STRUCTURAL,2.0,22.88,24.48,21.8988,24.48,3.200163,-2.598859,20230724,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603307.SH,20230816,20230822,-8.232703,SL,4.0,32.138,29.55645,29.55645,33.269,0.70539,-1.814026,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603368.SH,20230816,20230824,-6.282835,SL,6.0,18.893,17.74377,17.74377,21.373,0.582999,-1.253013,20230807,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
603520.SH,20230816,20230818,-3.60625,SL,2.0,14.4,13.9095,13.9095,16.19,-0.040775,-3.363914,20230808,20230814,20230815,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,,False
